Date,raw_score,prob_up,threshold,threshold_exit,threshold_score_gate,threshold_low,threshold_high,side,score_coverage,selected_factor_count,Forward_Return,Target_Up,Set,forward_return,turnover,gross_return,cost_drag,net_return,equity_gross,equity_net,drawdown_net
2011-06-30,0.29383243287041994,0.6778630609038394,0.52,0.48,0.07203832306257489,,,1.0,1.0,5,-0.0215,0,train,-0.0215,0.0,-0.0215,0.0,-0.0215,0.8586576014997196,0.8512445220460326,-0.28757999687532165
2011-07-29,0.48261829570589476,0.67444562559064,0.52,0.48,0.06730189771560215,,,1.0,1.0000000000000002,5,-0.056799999999999996,0,train,-0.056799999999999996,0.0,-0.056799999999999996,0.0,-0.056799999999999996,0.8098858497345356,0.802893833193818,-0.3280454530528033
2011-08-31,0.1722935420574206,0.5706368527938415,0.52,0.48,0.045856361828430774,,,1.0,1.0,4,-0.0718,0,train,-0.0718,0.0,-0.0718,0.0,-0.0718,0.751736045723596,0.7452460559705019,-0.3762917895236121
2011-09-30,-0.01941746681670842,0.5124109992599916,0.52,0.48,0.07954341030371653,,,0.0,0.9999999999999999,4,0.10769999999999999,1,train,0.10769999999999999,1.0,0.0,0.0005,-0.0005,0.751736045723596,0.7448734329425166,-0.37660364362885024
2011-10-31,0.00038748518060149895,0.5493672864944568,0.52,0.48,0.11887689445074054,,,0.0,1.0,4,-0.0051,0,train,-0.0051,0.0,-0.0,0.0,-0.0,0.751736045723596,0.7448734329425166,-0.37660364362885024
2011-11-30,-0.1381553002388477,0.5501085998373297,0.52,0.48,0.05036862547027977,,,1.0,1.0,4,0.0085,0,train,0.0085,1.0,0.0085,0.0005,0.008,0.7581258021122466,0.7508324204060568,-0.371616472777881
2011-12-30,0.4742148346610141,0.6333472423434184,0.52,0.48,0.04932456249183703,,,1.0,1.0,4,0.0436,1,train,0.0436,0.0,0.0436,0.0,0.0436,0.7911800870843406,0.7835687139357609,-0.34421895099099664
2012-01-31,0.6746974046263204,0.6596151325089353,0.52,0.48,0.06336043623755133,,,1.0,1.0,4,0.0406,1,train,0.0406,0.0,0.0406,0.0,0.0406,0.8233019986199648,0.8153816037215528,-0.3175942404012311
2012-02-29,0.7485020506418478,0.7069488779295944,0.52,0.48,0.05288530839526864,,,1.0,1.0,4,0.0313,1,train,0.0313,0.0,0.0313,0.0,0.0313,0.8490713511767698,0.8409030479180375,-0.29623494012578944
2012-03-30,0.2605547123702543,0.6377439018232745,0.52,0.48,0.0692793420920951,,,1.0,1.0,4,-0.0075,0,train,-0.0075,0.0,-0.0075,0.0,-0.0075,0.842703316042944,0.8345962750586523,-0.301513178074846
